name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,brand,mobile,total_sales
star wars: battlefront,xbox,2004.0,shooter,1.24,0.45,0.0,0.07,80.0,91.0,teen,microsoft,0,1.76
pro evolution soccer,playstation_2,2001.0,sports,0.06,0.9,0.53,0.27,,,na,sony,0,1.76
madden nfl 17,playstation_4,2016.0,sports,1.25,0.17,0.0,0.32,82.0,49.0,everyone,sony,0,1.74
just cause 2,playstation_3,2010.0,action,0.45,0.92,0.06,0.32,83.0,80.0,mature,sony,0,1.7500000000000002
disney's aladdin,super_nintendo_entertainment_system,1993.0,platform,0.94,0.34,0.21,0.27,,,na,nintendo,0,1.76
kirby's adventure,nintendo_entertainment_system,1993.0,platform,0.79,0.14,0.8,0.02,,,na,nintendo,0,1.75
yoshi,nintendo_entertainment_system,1991.0,puzzle,0.7,0.13,0.91,0.01,,,na,nintendo,0,1.75
the elder scrolls online,playstation_4,2015.0,role-playing,0.67,0.79,0.0,0.29,,,na,sony,0,1.75
fifa soccer 08,playstation_3,2007.0,sports,0.35,1.06,0.02,0.31,81.0,71.0,everyone,sony,0,1.7400000000000002
crackdown,xbox_360,2007.0,shooter,1.0,0.53,0.03,0.18,83.0,80.0,mature,microsoft,0,1.74
wii party u,wii_u,2013.0,misc,0.3,0.56,0.84,0.05,65.0,68.0,everyone,nintendo,1,1.7500000000000002
dance dance revolution x,playstation_2,2008.0,simulation,0.85,0.66,0.01,0.22,55.0,62.0,everyone_over_ten,sony,0,1.74
2 games in 1: disney princess & the lion king,gameboy_advanced,2004.0,misc,1.25,0.46,0.0,0.03,,,na,nintendo,1,1.74
kingdom hearts,playstation_3,2013.0,role-playing,0.9,0.35,0.25,0.24,,,na,sony,0,1.74
star wars episode i: the phantom menace,playstation,1999.0,adventure,0.72,0.89,0.04,0.1,,,na,sony,0,1.75
xenosaga episode i: der wille zur macht,playstation_2,2002.0,role-playing,0.63,0.49,0.45,0.17,83.0,87.0,teen,sony,0,1.74
watch dogs,playstation_3,2014.0,action,0.56,0.81,0.1,0.27,,51.0,mature,sony,0,1.7400000000000002
kinect star wars,xbox_360,2012.0,action,1.05,0.52,0.03,0.14,55.0,35.0,teen,microsoft,0,1.7400000000000002
dragon's dogma,playstation_3,2012.0,role-playing,0.41,0.44,0.72,0.17,78.0,83.0,mature,sony,0,1.7399999999999998
cruis'n usa,nintendo_64,1996.0,racing,1.69,0.04,0.0,0.01,,,na,nintendo,0,1.74
madden nfl 99,playstation,1998.0,sports,1.66,0.04,0.0,0.04,,,na,sony,0,1.74
the order: 1886,playstation_4,2015.0,shooter,0.61,0.78,0.06,0.27,63.0,66.0,mature,sony,0,1.7200000000000002
ssx tricky,playstation_2,2001.0,sports,0.85,0.66,0.0,0.22,92.0,89.0,everyone,sony,0,1.73
knack,playstation_4,2013.0,platform,0.43,0.68,0.42,0.2,54.0,65.0,everyone_over_ten,sony,0,1.73
twisted metal iii,playstation,1998.0,action,1.48,0.2,0.0,0.05,,,na,sony,0,1.73
harry potter and the sorcerer's stone,gameboy,2001.0,action,0.94,0.62,0.1,0.07,,,na,nintendo,1,1.7300000000000002
dragon quest vi: realms of revelation,ds,2010.0,role-playing,0.2,0.14,1.35,0.03,78.0,81.0,teen,nintendo,1,1.7200000000000002
crash bandicoot: the huge adventure,gameboy_advanced,2002.0,platform,0.95,0.7,0.0,0.08,78.0,79.0,everyone,nintendo,1,1.73
hitman: absolution,xbox_360,2012.0,action,0.68,0.88,0.01,0.17,79.0,71.0,mature,microsoft,0,1.74
rockstar games double pack: grand theft auto iii & grand theft auto vice city,playstation_2,2003.0,action,0.85,0.66,0.0,0.22,,,na,sony,0,1.73
the crew,playstation_4,2014.0,racing,0.35,1.08,0.03,0.26,61.0,54.0,teen,sony,0,1.7200000000000002
call of duty: world at war final fronts,playstation_2,2008.0,shooter,0.61,0.18,0.0,0.94,,,na,sony,0,1.73
nba 2k15,xbox_one,2014.0,sports,1.37,0.18,0.0,0.18,82.0,63.0,everyone,microsoft,0,1.73
madden nfl 2005,xbox,2004.0,sports,1.61,0.03,0.0,0.08,91.0,76.0,everyone,microsoft,0,1.7200000000000002
star ocean: till the end of time,playstation_2,2003.0,role-playing,0.8,0.21,0.55,0.15,80.0,77.0,teen,sony,0,1.71
call of duty: modern warfare 3,computer,2011.0,shooter,0.41,0.98,0.0,0.32,78.0,25.0,mature,computer,0,1.71
dishonored,xbox_360,2012.0,action,1.06,0.5,0.01,0.14,88.0,79.0,mature,microsoft,0,1.71
toy story 2: buzz lightyear to the rescue!,playstation,1998.0,platform,0.99,0.64,0.0,0.08,,,na,sony,0,1.71
the beatles: rock band,wii,2009.0,misc,1.17,0.39,0.0,0.15,89.0,89.0,teen,nintendo,0,1.71
ace combat 5: the unsung war,playstation_2,2004.0,simulation,0.88,0.34,0.32,0.18,84.0,91.0,teen,sony,0,1.72
need for speed underground,xbox,2003.0,racing,1.09,0.55,0.0,0.07,83.0,87.0,everyone,microsoft,0,1.7100000000000002
kanshuu nippon joushikiryoku kentei kyoukai: imasara hito ni wa kikenai otona no joushikiryoku training ds,ds,2006.0,misc,0.0,0.0,1.71,0.0,,,na,nintendo,1,1.71
tetris worlds,gameboy_advanced,2001.0,puzzle,1.25,0.39,0.0,0.06,65.0,,everyone,nintendo,1,1.7000000000000002
imagine: teacher,ds,2008.0,simulation,0.7,0.82,0.0,0.19,,,everyone,nintendo,1,1.71
call of duty: black ops 3,xbox_360,2015.0,shooter,1.14,0.4,0.0,0.16,,,na,microsoft,0,1.7
deal or no deal,ds,2007.0,misc,1.15,0.4,0.0,0.15,20.0,19.0,everyone,nintendo,1,1.6999999999999997
fifa soccer 10,playstation_2,2009.0,sports,0.23,0.24,0.0,1.23,,84.0,everyone,sony,0,1.7
portal 2,playstation_3,2011.0,shooter,0.83,0.6,0.02,0.24,95.0,84.0,everyone_over_ten,sony,0,1.69
super puyo puyo,super_nintendo_entertainment_system,1993.0,puzzle,0.0,0.0,1.69,0.01,,,na,nintendo,0,1.7
ncaa football 07,playstation_2,2006.0,sports,1.41,0.05,0.0,0.23,87.0,86.0,everyone,sony,0,1.69
the sims 3: late night expansion pack,computer,2010.0,simulation,0.59,0.87,0.0,0.23,74.0,53.0,teen,computer,0,1.69
no man's sky,playstation_4,2016.0,action,0.63,0.76,0.03,0.27,71.0,45.0,teen,sony,0,1.6900000000000002
ben 10: protector of earth,ds,2007.0,action,0.68,0.82,0.0,0.19,,,na,nintendo,1,1.69
cabela's big game hunter 2010,wii,2009.0,sports,1.58,0.0,0.0,0.12,,78.0,teen,nintendo,0,1.7000000000000002
socom 3: u.s. navy seals,playstation_2,2005.0,shooter,1.22,0.34,0.04,0.1,82.0,88.0,mature,sony,0,1.7000000000000002
bioshock infinite,playstation_3,2013.0,shooter,0.72,0.65,0.04,0.28,94.0,85.0,mature,sony,0,1.6900000000000002
jampack winter '99,playstation,1999.0,misc,0.94,0.64,0.0,0.11,,,na,sony,0,1.6900000000000002
call of duty: black ops 3,playstation_3,2015.0,shooter,0.49,0.87,0.07,0.26,,,na,sony,0,1.69
wcw vs. nwo: world tour,nintendo_64,1997.0,fighting,1.37,0.28,0.03,0.02,,,na,nintendo,0,1.7000000000000002
wcw/nwo thunder,playstation,1998.0,fighting,1.1,0.48,0.04,0.07,,,na,sony,0,1.6900000000000002
harry potter and the sorcerer's stone,gameboy_advanced,2001.0,action,0.87,0.66,0.08,0.08,64.0,71.0,everyone,nintendo,1,1.6900000000000002
dragon ball z: the legacy of goku,gameboy_advanced,2002.0,role-playing,1.52,0.12,0.0,0.05,53.0,69.0,everyone,nintendo,1,1.6900000000000002
cooking mama 3: shop & chop,ds,2009.0,simulation,0.79,0.65,0.08,0.17,,,na,nintendo,1,1.69
resident evil 4,game_cube,2005.0,action,0.98,0.42,0.22,0.06,96.0,94.0,mature,nintendo,0,1.68
personal trainer: math,ds,2007.0,puzzle,0.48,1.12,0.0,0.08,63.0,,everyone,nintendo,1,1.6800000000000002
game party 3,wii,2009.0,puzzle,1.4,0.16,0.0,0.12,37.0,,everyone,nintendo,0,1.6799999999999997
need for speed: undercover,xbox_360,2008.0,racing,0.79,0.7,0.01,0.18,64.0,59.0,teen,microsoft,0,1.68
world championship poker: featuring howard lederer - all in,playstation_2,2006.0,misc,0.82,0.64,0.0,0.22,,,na,sony,0,1.68
nfl gameday 98,playstation,1997.0,sports,1.58,0.06,0.0,0.04,,,na,sony,0,1.6800000000000002
sonic colors,wii,2010.0,platform,0.92,0.6,0.01,0.15,78.0,85.0,everyone,nintendo,0,1.68
saints row 2,playstation_3,2008.0,action,0.88,0.54,0.02,0.25,82.0,79.0,mature,sony,0,1.69
yoshi's cookie,gameboy,1992.0,puzzle,0.59,0.24,0.82,0.03,,,na,nintendo,1,1.68
time crisis,playstation,1997.0,shooter,0.38,0.87,0.33,0.1,,,na,sony,0,1.6800000000000002
sid meier's civilization v,computer,2010.0,strategy,0.98,0.52,0.0,0.17,90.0,79.0,everyone_over_ten,computer,0,1.67
 fire emblem fates,3ds,2015.0,role-playing,0.81,0.23,0.52,0.11,,,na,nintendo,1,1.6700000000000002
the sims: superstar,computer,2003.0,simulation,1.67,0.0,0.0,0.0,79.0,82.0,teen,computer,0,1.67
metroid fusion,gameboy_advanced,2002.0,action,1.18,0.27,0.17,0.06,92.0,91.0,everyone,nintendo,1,1.68
we ski,wii,2008.0,sports,0.97,0.4,0.14,0.15,67.0,85.0,everyone,nintendo,0,1.6600000000000001
star wars battlefront: renegade squadron,playstation_portable,2007.0,shooter,0.9,0.46,0.0,0.32,73.0,79.0,teen,sony,1,1.6800000000000002
ssx 3,playstation_2,2003.0,sports,0.93,0.52,0.0,0.22,93.0,91.0,everyone,sony,0,1.6700000000000002
madden nfl 2001,playstation,2000.0,sports,1.58,0.05,0.0,0.04,90.0,68.0,everyone,sony,0,1.6700000000000002
star wars: battlefront ii,xbox,2005.0,shooter,1.22,0.39,0.0,0.06,83.0,89.0,teen,microsoft,0,1.67
disney's ducktales,nintendo_entertainment_system,1989.0,platform,0.91,0.3,0.42,0.04,,,na,nintendo,0,1.67
tony hawk's pro skater 3,playstation,2001.0,sports,1.09,0.49,0.02,0.07,87.0,83.0,everyone,sony,0,1.6700000000000002
"monsters, inc.",gameboy_advanced,2001.0,adventure,0.59,0.95,0.03,0.1,,,everyone,nintendo,1,1.6700000000000002
pgr: project gotham racing 2,xbox,2003.0,racing,0.97,0.59,0.04,0.07,,,na,microsoft,0,1.6700000000000002
dragon age: origins,playstation_3,2009.0,role-playing,0.96,0.42,0.08,0.21,87.0,79.0,mature,sony,0,1.67
spy hunter,playstation_2,2001.0,racing,1.13,0.32,0.0,0.22,84.0,78.0,teen,sony,0,1.67
ncaa football 2004,playstation_2,2003.0,sports,1.35,0.09,0.0,0.23,94.0,88.0,everyone,sony,0,1.6700000000000002
fight night round 3,playstation_3,2006.0,fighting,0.81,0.58,0.01,0.26,83.0,79.0,teen,sony,0,1.6600000000000001
starcraft ii: heart of the swarm,computer,2013.0,strategy,0.83,0.66,0.0,0.18,86.0,79.0,teen,computer,0,1.67
spongebob squarepants: battle for bikini bottom,playstation_2,2003.0,platform,1.08,0.45,0.0,0.14,71.0,90.0,everyone,sony,0,1.67
until dawn,playstation_4,2015.0,adventure,0.45,0.9,0.05,0.26,79.0,82.0,mature,sony,0,1.6600000000000001
big beach sports,wii,2008.0,sports,0.45,1.02,0.0,0.2,44.0,80.0,everyone,nintendo,0,1.67
street fighter ii': special champion edition,genesis,1992.0,fighting,1.0,0.3,0.31,0.04,,,na,sega,0,1.6500000000000001
ssx,playstation_2,2000.0,sports,0.78,0.61,0.06,0.2,93.0,83.0,everyone,sony,0,1.6500000000000001
shaun white snowboarding: road trip,wii,2008.0,sports,0.93,0.56,0.0,0.16,78.0,87.0,everyone_over_ten,nintendo,0,1.6500000000000001
nba ballers,playstation_2,2004.0,sports,0.81,0.63,0.0,0.21,83.0,92.0,everyone,sony,0,1.65
saints row iv,xbox_360,2013.0,action,1.01,0.5,0.01,0.13,81.0,65.0,mature,microsoft,0,1.65
nba live 2003,playstation_2,2002.0,sports,1.25,0.15,0.03,0.22,83.0,83.0,everyone,sony,0,1.65
lego batman 2: dc super heroes,xbox_360,2012.0,action,0.9,0.61,0.0,0.15,79.0,72.0,everyone_over_ten,microsoft,0,1.66
dragon ball z: budokai tenkaichi,playstation_2,2005.0,fighting,0.96,0.12,0.54,0.04,72.0,84.0,teen,sony,0,1.6600000000000001
dark souls iii,playstation_4,2016.0,role-playing,0.65,0.45,0.34,0.22,89.0,88.0,mature,sony,0,1.6600000000000001
ms. pac-man,2600,1981.0,puzzle,1.54,0.1,0.0,0.02,,,na,atari,0,1.6600000000000001
kirby's return to dreamland,wii,2011.0,platform,0.58,0.21,0.79,0.07,77.0,85.0,everyone_over_ten,nintendo,0,1.6500000000000001
mario party 6,game_cube,2004.0,misc,0.9,0.11,0.6,0.05,71.0,79.0,everyone,nintendo,0,1.66
super scope 6,super_nintendo_entertainment_system,1991.0,shooter,1.06,0.38,0.15,0.05,,,na,nintendo,0,1.64
star wars the clone wars: lightsaber duels,wii,2008.0,action,1.21,0.3,0.0,0.14,56.0,67.0,teen,nintendo,0,1.65
need for speed carbon,xbox_360,2006.0,racing,0.76,0.69,0.02,0.18,77.0,63.0,everyone_over_ten,microsoft,0,1.65
heavenly sword,playstation_3,2007.0,action,0.57,0.72,0.06,0.29,79.0,83.0,teen,sony,0,1.6400000000000001
dragon quest v: tenkuu no hanayome,playstation_2,2004.0,role-playing,0.0,0.0,1.65,0.0,,,na,sony,0,1.65
mysims,wii,2007.0,simulation,0.9,0.54,0.04,0.17,68.0,72.0,everyone,nintendo,0,1.65
kirby & the amazing mirror,gameboy_advanced,2004.0,platform,0.8,0.05,0.76,0.03,,,na,nintendo,1,1.6400000000000001
army of two,xbox_360,2008.0,shooter,1.09,0.37,0.02,0.16,72.0,76.0,mature,microsoft,0,1.64
dig dug,2600,1982.0,puzzle,1.52,0.1,0.0,0.02,,,na,atari,0,1.6400000000000001
tom clancy's rainbow six,playstation,1999.0,shooter,0.93,0.63,0.0,0.08,,,na,sony,0,1.6400000000000001
ghosts 'n goblins,nintendo_entertainment_system,1986.0,action,0.74,0.26,0.61,0.03,,,na,nintendo,0,1.64
tiger woods pga tour 2003,playstation_2,2002.0,sports,0.8,0.63,0.0,0.21,88.0,89.0,everyone,sony,0,1.6400000000000001
nba live 06 (all region sales),playstation_2,2005.0,sports,1.44,0.15,0.0,0.05,,,na,sony,0,1.64
prince of persia: warrior within,playstation_2,2004.0,action,0.54,0.88,0.0,0.22,83.0,85.0,mature,sony,0,1.64
far cry 4,xbox_one,2014.0,shooter,0.8,0.69,0.01,0.14,82.0,75.0,mature,microsoft,0,1.6400000000000001
espn nfl 2k5,xbox,2004.0,sports,1.54,0.02,0.0,0.07,92.0,91.0,everyone,microsoft,0,1.6300000000000001
beyond: two souls,playstation_3,2013.0,adventure,0.52,0.8,0.06,0.26,70.0,81.0,mature,sony,0,1.6400000000000001
pikmin,game_cube,2001.0,strategy,0.78,0.25,0.56,0.04,89.0,87.0,everyone,nintendo,0,1.6300000000000001
tiger woods pga tour 2004,playstation_2,2003.0,sports,1.18,0.34,0.0,0.1,89.0,88.0,everyone,sony,0,1.62
nba 2k15,xbox_360,2014.0,sports,1.35,0.11,0.0,0.17,,30.0,everyone,microsoft,0,1.6300000000000001
call of duty: black ops,computer,null,shooter,0.58,0.81,0.0,0.23,81.0,52.0,mature,computer,0,1.62
ape escape,playstation,1999.0,platform,0.71,0.48,0.32,0.11,90.0,88.0,everyone,sony,0,1.62
ncaa football 2005,playstation_2,2004.0,sports,1.32,0.09,0.0,0.22,88.0,88.0,everyone,sony,0,1.6300000000000001
max payne 3,xbox_360,2012.0,shooter,0.86,0.62,0.01,0.13,86.0,78.0,mature,microsoft,0,1.62
viva pinata,xbox_360,2006.0,simulation,0.45,0.95,0.02,0.2,84.0,80.0,everyone,microsoft,0,1.6199999999999999
tony hawk's american wasteland (old all region sales),playstation_2,2005.0,sports,0.8,0.63,0.01,0.19,,,na,sony,0,1.6300000000000001
kinectimals,xbox_360,2010.0,simulation,1.02,0.46,0.0,0.13,74.0,31.0,everyone,microsoft,0,1.6099999999999999
kirby air ride,game_cube,2003.0,racing,1.01,0.11,0.45,0.04,61.0,79.0,everyone,nintendo,0,1.61
lego marvel super heroes,playstation_4,2013.0,action,0.59,0.76,0.01,0.26,83.0,77.0,everyone_over_ten,sony,0,1.62
sled storm,playstation,1998.0,racing,0.9,0.61,0.0,0.11,,,na,sony,0,1.62
destiny,playstation_3,2014.0,shooter,0.68,0.56,0.12,0.25,,45.0,teen,sony,0,1.6100000000000003
rock band,playstation_3,null,misc,0.99,0.41,0.0,0.22,92.0,84.0,teen,sony,0,1.6199999999999999
dragon quest iv: chapters of the chosen,ds,2007.0,role-playing,0.3,0.02,1.27,0.03,80.0,79.0,everyone_over_ten,nintendo,1,1.62
nfl street 2,playstation_2,2004.0,sports,0.79,0.62,0.0,0.21,77.0,87.0,everyone,sony,0,1.62
baseball,gameboy,1989.0,sports,0.66,0.27,0.65,0.03,,,na,nintendo,1,1.61
yu-gi-oh! duel monsters,gameboy,1998.0,strategy,0.0,0.0,1.61,0.01,,,na,nintendo,1,1.62
super mario strikers,game_cube,2005.0,sports,0.98,0.38,0.2,0.04,76.0,87.0,everyone,nintendo,0,1.5999999999999999
buzz! the music quiz,playstation_2,2005.0,misc,0.0,1.18,0.0,0.43,,,na,sony,0,1.6099999999999999
rage,xbox_360,2011.0,shooter,0.82,0.6,0.03,0.15,81.0,67.0,mature,microsoft,0,1.5999999999999999
mario hoops 3 on 3,ds,2006.0,sports,0.98,0.04,0.49,0.09,69.0,80.0,everyone,nintendo,1,1.6
spongebob's atlantis squarepantis,ds,2007.0,action,1.49,0.0,0.0,0.11,64.0,,everyone,nintendo,1,1.6
dollar dash,playstation_2,2005.0,action,1.3,0.23,0.0,0.07,,,na,sony,0,1.6
f-1 world grand prix,nintendo_64,1998.0,racing,0.46,0.96,0.09,0.08,,,na,nintendo,0,1.59
river raid,2600,1981.0,shooter,1.49,0.09,0.0,0.02,,,na,atari,0,1.6
just cause 2,xbox_360,2010.0,action,0.59,0.83,0.02,0.17,81.0,80.0,mature,microsoft,0,1.6099999999999999
silent hill,playstation,1999.0,action,0.71,0.48,0.3,0.1,86.0,92.0,mature,sony,0,1.59
sonic heroes,game_cube,2003.0,platform,1.05,0.44,0.06,0.04,72.0,78.0,everyone,nintendo,0,1.59
disney infinity,wii,2013.0,action,1.05,0.41,0.0,0.14,,42.0,everyone_over_ten,nintendo,0,1.6
espn nba 2k5,playstation_2,2004.0,sports,1.26,0.12,0.0,0.21,83.0,75.0,everyone,sony,0,1.5899999999999999
diablo,computer,1996.0,role-playing,0.01,1.58,0.0,0.0,94.0,87.0,mature,computer,0,1.59
far cry 2,xbox_360,2008.0,action,0.71,0.69,0.02,0.18,85.0,67.0,mature,microsoft,0,1.5999999999999999
the legend of zelda: twilight princess,game_cube,2006.0,action,1.15,0.36,0.04,0.04,96.0,92.0,teen,nintendo,0,1.5899999999999999
soul edge,playstation,1996.0,fighting,0.61,0.41,0.46,0.1,,,na,sony,0,1.58
mario bros.,2600,1982.0,platform,1.48,0.09,0.0,0.02,,,na,atari,0,1.59
pro evolution soccer 2008,playstation_3,2007.0,sports,0.04,1.1,0.32,0.13,74.0,61.0,everyone,sony,0,1.5900000000000003
nascar 2000,playstation,1999.0,racing,0.88,0.6,0.0,0.1,,,na,sony,0,1.58
pokemon battle revolution,wii,2006.0,role-playing,0.78,0.37,0.3,0.13,53.0,67.0,everyone,nintendo,0,1.58
kingdom hearts 3d: dream drop distance,3ds,2012.0,action,0.88,0.26,0.34,0.1,75.0,82.0,everyone_over_ten,nintendo,1,1.5800000000000003
dance dance revolution: hottest party 2,wii,2008.0,simulation,0.94,0.48,0.01,0.15,69.0,68.0,everyone_over_ten,nintendo,0,1.5799999999999998
soulcalibur iv,xbox_360,2008.0,fighting,0.92,0.43,0.07,0.15,85.0,79.0,teen,microsoft,0,1.57
jampack summer 2k,playstation,2000.0,misc,0.88,0.6,0.0,0.1,,,na,sony,0,1.58
sonic generations,playstation_3,2011.0,platform,0.6,0.69,0.02,0.26,76.0,82.0,everyone,sony,0,1.57
spyro 2: season of flame,gameboy_advanced,2002.0,platform,0.85,0.65,0.0,0.08,76.0,76.0,everyone,nintendo,1,1.58
mario party 10,wii_u,2015.0,misc,0.69,0.53,0.24,0.12,66.0,65.0,everyone,nintendo,1,1.58
devil may cry 4,playstation_3,2008.0,action,0.58,0.45,0.34,0.2,84.0,82.0,mature,sony,0,1.57
dead rising 3,xbox_one,2013.0,action,1.06,0.35,0.01,0.15,78.0,68.0,mature,microsoft,0,1.57
pro evolution soccer 2010,playstation_2,2009.0,sports,0.1,0.18,0.12,1.16,,81.0,everyone,sony,0,1.56
ncaa football 2002,playstation_2,2001.0,sports,0.77,0.6,0.0,0.2,90.0,87.0,everyone,sony,0,1.57
gears of war: judgment,xbox_360,2013.0,shooter,0.92,0.5,0.03,0.12,79.0,54.0,mature,microsoft,0,1.5699999999999998
watch dogs,xbox_one,2014.0,action,0.9,0.53,0.0,0.14,78.0,58.0,mature,microsoft,0,1.5700000000000003
guitar hero: on tour decades,ds,2008.0,misc,0.84,0.57,0.0,0.16,72.0,80.0,everyone_over_ten,nintendo,1,1.5699999999999998
fifa 16,xbox_360,2015.0,sports,0.57,0.88,0.0,0.12,,29.0,everyone,microsoft,0,1.5699999999999998
madden nfl 15,xbox_one,2014.0,sports,1.31,0.09,0.0,0.16,80.0,64.0,everyone,microsoft,0,1.56
conflict: desert storm,playstation_2,2002.0,shooter,0.98,0.53,0.0,0.06,55.0,86.0,teen,sony,0,1.57
mario party 7,game_cube,2005.0,misc,0.95,0.11,0.46,0.04,64.0,79.0,everyone,nintendo,0,1.56
dragon quest v: hand of the heavenly bride,ds,2008.0,role-playing,0.17,0.02,1.36,0.02,84.0,85.0,everyone_over_ten,nintendo,1,1.57
high school musical 3: senior year,ds,2008.0,misc,0.63,0.76,0.0,0.17,,,na,nintendo,1,1.56
smuggler's run,playstation_2,2000.0,racing,0.77,0.6,0.0,0.2,79.0,68.0,teen,sony,0,1.57
fight night round 3,playstation_2,2006.0,fighting,1.07,0.4,0.0,0.1,84.0,81.0,teen,sony,0,1.5700000000000003
carnival games: mini golf,wii,2008.0,sports,0.86,0.54,0.0,0.15,38.0,57.0,everyone,nintendo,0,1.5499999999999998
donkey kong classics,nintendo_entertainment_system,1988.0,platform,0.59,0.14,0.81,0.02,,,na,nintendo,0,1.56
hannah montana: music jam,ds,2007.0,action,1.05,0.36,0.0,0.15,,,na,nintendo,1,1.56
twisted metal,playstation,1995.0,action,1.32,0.19,0.0,0.05,,,na,sony,0,1.56
final fight,super_nintendo_entertainment_system,1990.0,action,0.67,0.17,0.69,0.03,,,na,nintendo,0,1.56
pokemon mystery dungeon: explorers of sky,ds,2009.0,role-playing,0.57,0.43,0.44,0.12,54.0,90.0,everyone,nintendo,1,1.56
dragon quest monsters 2,gameboy,2001.0,role-playing,0.0,0.0,1.56,0.0,,,na,nintendo,1,1.56
pokemon pinball: ruby & sapphire,gameboy_advanced,2003.0,misc,0.68,0.38,0.44,0.05,,,na,nintendo,1,1.55
mysims kingdom,ds,2008.0,simulation,0.8,0.59,0.01,0.16,58.0,,everyone,nintendo,1,1.56
lego pirates of the caribbean: the video game,wii,2011.0,action,0.73,0.67,0.0,0.15,73.0,70.0,everyone_over_ten,nintendo,0,1.5499999999999998
stuntman,playstation_2,2002.0,racing,0.76,0.59,0.0,0.2,71.0,57.0,teen,sony,0,1.55
tom clancy's rainbow six 3,xbox,2003.0,shooter,0.91,0.57,0.0,0.07,86.0,85.0,mature,microsoft,0,1.55
lego harry potter: years 1-4,xbox_360,2010.0,action,0.95,0.46,0.0,0.14,79.0,80.0,everyone_over_ten,microsoft,0,1.5499999999999998
007: the world is not enough,nintendo_64,2000.0,action,1.13,0.38,0.02,0.03,,,na,nintendo,0,1.5599999999999998
spider-man 2: enter: electro,playstation,2001.0,action,0.57,0.87,0.02,0.09,74.0,87.0,everyone,sony,0,1.55
guitar hero 5,wii,2009.0,misc,0.92,0.48,0.0,0.15,89.0,69.0,teen,nintendo,0,1.5499999999999998
command & conquer: tiberian sun,computer,1999.0,strategy,1.55,0.0,0.0,0.0,,,na,computer,0,1.55
wolfenstein: the new order,playstation_4,2014.0,shooter,0.47,0.8,0.03,0.24,79.0,81.0,mature,sony,0,1.54
mafia ii,xbox_360,2010.0,action,0.85,0.55,0.0,0.15,74.0,78.0,mature,microsoft,0,1.5499999999999998
moshi monsters: moshling zoo,ds,2011.0,misc,0.37,0.96,0.0,0.21,,,everyone,nintendo,1,1.54
bioshock 2,playstation_3,2010.0,shooter,0.85,0.46,0.02,0.22,88.0,82.0,mature,sony,0,1.55
dark cloud,playstation_2,2000.0,role-playing,0.83,0.44,0.08,0.19,80.0,82.0,teen,sony,0,1.54
warcraft iii: the frozen throne,computer,2003.0,strategy,0.58,0.87,0.0,0.09,88.0,90.0,teen,computer,0,1.54
active life: outdoor challenge,wii,2008.0,sports,0.78,0.43,0.19,0.14,69.0,81.0,everyone,nintendo,0,1.54
tom clancy's ghost recon advanced warfighter,xbox_360,2006.0,shooter,1.4,0.02,0.02,0.1,90.0,80.0,teen,microsoft,0,1.54
ratchet & clank (2016),playstation_4,2016.0,platform,0.5,0.76,0.04,0.24,,,na,sony,0,1.54
mvp baseball 2005,playstation_2,2005.0,sports,1.26,0.07,0.0,0.21,87.0,86.0,everyone,sony,0,1.54
die hard trilogy,playstation,1996.0,shooter,0.85,0.58,0.0,0.1,,,na,sony,0,1.53
uncharted: golden abyss,playstation_vita,2011.0,shooter,0.53,0.66,0.13,0.22,80.0,74.0,teen,sony,1,1.5399999999999998
go vacation,wii,2011.0,misc,0.42,0.65,0.33,0.14,64.0,78.0,everyone_over_ten,nintendo,0,1.54
pro evolution soccer 2013,playstation_3,2012.0,sports,0.18,0.63,0.49,0.24,82.0,67.0,everyone,sony,0,1.54
mortal kombat 3,super_nintendo_entertainment_system,1994.0,fighting,1.19,0.29,0.0,0.05,,,na,nintendo,0,1.53
nfl gameday 99,playstation,1998.0,sports,1.44,0.05,0.0,0.04,,,na,sony,0,1.53
dishonored,playstation_3,2012.0,action,0.72,0.52,0.04,0.25,89.0,79.0,mature,sony,0,1.53
mario golf: toadstool tour,game_cube,2003.0,sports,1.09,0.15,0.25,0.04,81.0,80.0,everyone,nintendo,0,1.53
tiger woods 99 pga tour golf,playstation,1997.0,sports,0.85,0.58,0.0,0.1,,,na,sony,0,1.53
call of duty: black ops ii,computer,2012.0,shooter,0.64,0.69,0.0,0.19,74.0,42.0,mature,computer,0,1.52
resident evil: the umbrella chronicles,wii,2007.0,action,0.67,0.43,0.29,0.14,75.0,76.0,mature,nintendo,0,1.5300000000000002
knockout kings,playstation,1997.0,fighting,1.07,0.39,0.0,0.06,,,na,sony,0,1.52
the simpsons skateboarding,playstation_2,2002.0,sports,0.36,0.9,0.0,0.27,38.0,50.0,teen,sony,0,1.53
donkey kong country: tropical freeze,wii_u,2014.0,platform,0.7,0.55,0.16,0.12,83.0,89.0,everyone,nintendo,1,1.5299999999999998
nascar 98,playstation,1996.0,racing,1.43,0.05,0.0,0.04,,,na,sony,0,1.52
xevious,nintendo_entertainment_system,1984.0,shooter,0.18,0.06,1.27,0.01,,,na,nintendo,0,1.52
f1 race,nintendo_entertainment_system,1984.0,racing,0.0,0.0,1.52,0.0,,,na,nintendo,0,1.52
nascar 99,playstation,1998.0,racing,1.45,0.04,0.0,0.04,,,na,sony,0,1.53
